Tweet,HS,HS_Weak,HS_Moderate,HS_Strong
"""Pantas pada senang kerja di Rans.. mbak gigi nggak ngebossy..""",1,1,0,0
"""Yakinin dulu niatnya bg? Semoga sukses""",1,1,0,0
"""Rambutnya kak modd bagussss? Item berkilauu""",1,1,0,0
"""seru bgt gemoy, tim berkebun plus tim alam bgt niiii""",1,1,0,0
"""Yaudah jd pengusaha kuliner aja gausah artis, makanannya emang bikin ngiler sih wkwkw""",1,1,0,0
"minta maaf yg tulus utama kpd orangtua dn kluarga timothy...bukn krna tkut dihujat netizen, situ enak ga dibully bnyk orang??",1,1,0,0
"Sunyi, senyap, sah.",1,1,0,0
"itu sesuai gaya di negara sana, memang kulit kaya gitu sesuai standar kecantikan negara sana, beda lagi kalo dia tinggal di Korea atau cina pasti gayanya sesuai negara situ juga, kayak nya dia fashionable",1,1,0,0
"""Lu diem aja cantik mel kalo ga banyak gaya serius""",1,1,0,0
"""Kayak Randy Pangalila klo gk pake kacamata""",1,1,0,0
Apa gunanya dpr kok tega banget ðŸ’”,1,1,0,0
Sita semuanya,1,1,0,0
udah ada cwo itu si lintang tmn gw,1,1,0,0
"gue pernah ngalamin itu satu tahun lalu, dan berhenti masuk matkul sampe di DO dan sampean sekarang belum berani bilang sama siapapun ",1,1,0,0
"""G bole melet dosaa rik""",1,1,0,0
"""Gemeshh rasanya kaya aku pengen cubit""",1,1,0,0
Masih ke inget nino sekeluarga ngeprank lamar natasya wilonaðŸ¤£,1,1,0,0
isu pahlawan nasional bisa memancing mereka keluar . mantap pak prabowo,1,1,0,0
"""Selamat Ulang Tahun kak @rosameldianti_, banyaknya sadar dan jangan pansos lagi yah. Amin""",1,0,1,0
"""ya biarin @xrickolim kita gatau gimana aslinya masa kalian semua ambil keputusan sepihak?kalo udah takdir gaada yang bisa nentang njir""",1,1,0,0
"aku nemu foto ini, yaallah ngakak bangetðŸ˜­",1,1,0,0
"""Seneng liat pasangan ini cewenya di hujat 1 indonesia tapi dia tetep setia nemenin""",1,1,0,0
"""Cantik semua congrats kak msuk nominsi tc candler""",1,1,0,0
"tapi aku liat selena gomez juga kayak setipe gitu cantiknya kaya gini,paham kan yaðŸ˜­jadi ini ga jelek tapi kalian emang ga nyangka aja kan klo dia cinta kuyaaa",1,0,1,0
"itu kayaknya poto lama deh..soalnya mukanya masih unyuÂ² bulet cabi,,sementara sekarang tu lebih tirus dan keliatan dewasa gitu auranya...",1,1,0,0
"""Mel disini kamu keliatan cakep""",1,1,0,0
Alhamdulillah akhir nya Fiki naki nikah semoga samawa.ðŸ¥°,1,1,0,0
"""Lucunya berasa kayak kaka dan adek""",1,1,0,0
"Emang harus dinepalkan, mereka udah benar benar merasa lebih tinggi dari yang mereka wakilkan",1,1,0,0
"""Bagusan foto pakai masker drpd gak pakai masker""",1,1,0,0
do aja kakðŸ”¥,1,1,0,0
Jule bener bener hilang arah,1,1,0,0
"""Semoga sehat selalu bayi dalam kandungan nya sama ibunya ya.""",1,1,0,0
Sebobrok inikah?! Sungguh sangat miris,1,1,0,0
"perasaan setiap hari buka tiktok ga ngertti ada kasus ini, emg kasus apa ya? (bertanya dgn nada lembut)",1,1,0,0
"""Baik buruk nya kamu akan tetap terlihat buruk di mata mereka yang ga menyukai mu..""",1,0,1,0
"""makan nasi padang aja begini badannya""",1,1,0,0
Rakyat RI ga sekuat Nepal. Mimin punya axolotl naga air lucu kak. gemas imut mirip pokemonðŸ˜ðŸ˜,1,1,0,0
semoga arahan dapat wanita yg baik2 dan tulus..,1,1,0,0
"Klopun iya aki aki, aki aki mana yg cakeup begini gue tanyaðŸ˜­",1,1,0,0
alis nya ko bisa bagus bgt gt anjirrrr,1,0,1,0
"gara gara sering liat meme Bahlil,gua setiap liat muka Bahlil ketawa muluðŸ˜‚ðŸ˜‚ðŸ˜­ðŸ˜­",1,1,0,0
"""Meldi meskipun kadang mulut ku tak bisa di rem karena kehaluanmu, tapi aku bangga akan berusaha mu, yuhuuu""",1,1,0,0
"""astaga masih pagi dibikin ngakak ama komenan netijen yg ngmng suka bener""",1,1,0,0
nino gmna kabarnya kok ga prnah keliatan,1,1,0,0
"siklus netijen, idup ngurusin orang mulu padahl idup nya sendiri berantakan ðŸ˜¢",1,1,0,0
"pemerintah ga akan mempermudah pesaingnya bg,kalau shell atau yg lain makin banyak,otomatis pertamanya akan kalah saing",1,0,0,1
"""Sering blg ke org2 artis cewek yg menurutku paling cantik syifa sama ziu""",1,1,0,0
"pengen deh kayak cinta,keluar negri +kerja disanaðŸ˜­",1,1,0,0
Maap bgt unfoll,1,1,0,0
"""Jujur aku lebih suka meldi yang sekarang daripada yang dulu suka ngehujat orang""",1,1,0,0
saya sebagai rayat biasa sakit hati dengan ucapan si ciptaning sudah menebar fitnah pada suharto yang saya hormati,1,0,0,1
omongan gak bisa di pegang bahaya,1,1,0,0
dh masuk grup blm zah?,1,1,0,0
Serius tanya... Orang ini siapa ya?,1,1,0,0
saya rasakan jaman bapak Suharto sangat adem ayem,1,1,0,0
"kita bisa di tangkap kapan saja, di sadap dengan isilop kapan sajaâ€¦ di 86 khan dimana saja.. sehat2 penduduk Indonesia, solusinya cuman satuâ€PINTARâ€",1,1,0,0
Aloy mana om,1,1,0,0
"Komennya jahat2 amat para ahli neraka, sibuk amat urusin hidup orng.",1,1,0,0
Kakak cantik gak usah dengar kata netizen ini,1,1,0,0
"Wahh penting banget nih berita, bisa ngasih makan gua dan keluarga. Makasih yah",1,1,0,0
kagett jodohnya fiki naki ðŸ˜­ðŸ˜­ðŸ˜­,1,1,0,0
"kita disuruh ngirimin sedih, dia nya sibuk pacaran nyamperin laki2",1,1,0,0
"""@vnagstn astaga si isyana keren banget ini; bisa ada musisi lokal yang selera musiknya kayak gini""",1,0,1,0
hati hati demi nilai tinggi tapi Kamu harus diobok-obok ,1,1,0,0
"""Foto di upload nya 20 maret yang comment 1 jam 2 jam 3 jam yg lalu""",1,1,0,0
"""Thank you juga, Syan! Seneng banget kemarin haha! Semoga setelah pandemi ini, semua rencana dilancarkan ya, Syan!""",1,1,0,0
Masyaallah canciknyaa manisnya itu loh,1,1,0,0
"""Jangan patah semngat kak sukses terus""",1,1,0,0
ingat doa org2 yg teraniaya cpt terkabul,1,0,0,1
cantik juga,1,1,0,0
Tenangin diri sekarangðŸ˜­,1,1,0,0
Kak @bravyson.vconk anjirr lu kenapa slide 5 tu mukaa enduwww nempel di lu kak ðŸ¤£ðŸ¤£ btw sehat selalu kak ttp jadi sosok papa yg baik untuk enduuw dan mba err ( donâ€™t listen people say what about your life ) so proud of you !!,1,0,1,0
"Mantaap biar kader PDIP, gak sewenang-wenang, meniru niru gaya bicara ketua umumnya si Nenek, Bpk Suharto itu tulus..Di akui atau tdk di hatiku Bpk Suharto tetaplah Pahlawan ðŸ‘â¤ï¸",1,1,0,0
aura nya ya ampunn,1,1,0,0
"""Jujur ya kamu kalo anteng ga buat masalah cantik mel""",1,1,0,0
"jangan baca komen cinta , indah kan hariharimu , krena kamu hidup bukan dari uang mereka jadi abaikan mereka yg berbicara apapun . karena kalo kamu bales komenan mreka, mreka makin seneng menghujat. Bawaa happy cinta ..",1,1,0,0
"""Klu @jeromepoline buat video tapi berdua aja seharian sama anak kecil, hahah lucu juga gimana riwehnya""",1,1,0,0
"""Selamat ulang tahun meldi sukses dan sehat terus ya?.""",1,1,0,0
di Konoha nglawan pejabat ya emang susah,1,1,0,0
"""@xrickolim smngat trus bro tiada manusia yg sempurna kmu pasti bisa bangkit n jadi lebih baik GBU keepstrong""",1,1,0,0
hahahahahahahahaha kena deh hehehehe,1,1,0,0
"""Ka mel gausah merendahkan orang lain. Bersyukur aja diatas langit juga masih ada langit lagi""",1,1,0,0
"semoga ada hikmah dari semua kejadian kemarin,,semoga jule bisa cepet dapat hidayah lagi",1,1,0,0
"setidaknya gue berharap dia bisa jadi ibu yang baik, meskipun anak2 itu harus ngerasin perpisaan orang tuanya di umur se kecil itu",1,1,0,0
"maaaf saya orang awam, saya coba nyari arti negeri dan rakyat kok beda ya",1,1,0,0
"Kak sangking lucu nya aku gak bisa ngakak, malah ngikngikkkðŸ˜…ðŸ˜…ðŸ˜…",1,1,0,0
"hiraukan aja hujatannya kk
yg pentingg ilmuuu nyaaaðŸ‘",1,1,0,0
"""Kaka tidur yaa, udah pagi, gaboleh capek2""",1,1,0,0
arap yang udh nangis terharu bilek ðŸ—¿,1,1,0,0
berarti cowo tulus tu gaada yaðŸ¥º,1,1,0,0
Ngabalin jilid 2ðŸ—¿,1,1,0,0
"""Menurutku pribadi, dia tulus minta maafnya?.""",1,1,0,0
"""Mending lu pada tobat dah""",1,1,0,0
mengganti logo berharap bisa masuk GerindraðŸ¤£ðŸ¤£ðŸ¤£,1,1,0,0
"""Congrats kak, kamu memang pantes mendapatkannya""",1,1,0,0
Wkkwkwkw savage balesan2 komen2 kamu kakðŸ˜‚ðŸ˜‚ðŸ˜‚,1,1,0,0
2 manusia terlihat panikðŸ˜­ðŸ˜­ðŸ˜­,1,1,0,0
up aja. biar jera itu si dosen ,1,1,0,0
"""Manusia apa bidadari sih herann deh cantik terus ????""",1,1,0,0
vibe nya udh beda mau sepositif apapun itu,1,1,0,0
"STOP MENTION KUDA LUMPING, masih tidak nyangka pikiran orang bisa pada sampe ke kuda lumping ðŸ˜­",1,1,0,0
ga penting bgt,1,1,0,0
"""Parah lu bang nama lu udh rusak karna narkoba malah nambah masalah ajh truss""",1,1,0,0
"""sukses selalu yah ka @rosameldianti_ semangat""",1,1,0,0
"Krn mereka ada perjanjian tertulis dgn partai, dan hanya ketua partai yg pecat org2 tsb. MK Indonesia mgkin kerja di bawah tekanan ketua partai",1,0,1,0
Innalilahi wa innailaihi rojiun RIP HUKUM di INDONESIA ðŸ‘ŽðŸ»âš°ï¸ðŸ¥€ðŸ“´,1,1,0,0
"pak Soeharto bapak pembangunan,kalo tanpa beliau kita tidak seperti sekarang",1,1,0,0
dari dulu aja hobi selingkuh yaa sekarang masih doyan,1,1,0,0
"""Warna yang paling bikin Raisa makin shinning itu merah, hitam, putih, pink and emerald""",1,1,0,0
"""Sampe ga bisa berkata2 lagi buat isyana, sangat2 sempurna org ini""",1,1,0,0
itu dosen apa predator mengerikan ,1,1,0,0
"""Kak Jerome, bagi trik biar bisa paham dan ingat cepat rumus matematika, dung:)""",1,0,0,1
dia itu cuma sedih dirinya di hujat bukan sedih. akan timoty dia juga menyesal kerena kerena di hujat bukan. kerena menghujat timoty,1,1,0,0
"dia cantik banget, dan gak merubah apapun bentuk wajahnya â™¡
kalian yg komen negatif ngerti soal cantik natural gak? ini loh yang begini",1,1,0,0
rasis lu anj kek udh pada sempurna aja lu padahal tuhan telah menciptakan manusia dengan kekurangan dan kelebihan,1,0,1,0
"""Lelaki yg mendapatkan km. Adalah lelaki yg beruntung.""",1,1,0,0
"""Unfoll aja daripada kalian dosa ngebully2 terus..""",1,1,0,0
karena gabisa dapetin mahasiswa nya emosi dah si dosen,1,1,0,0
semangatt zizeeeeðŸ¥°,1,1,0,0
"""jule menambah kan bravy ke grup""",1,1,0,0
"""CONGRATS KAK ISYAN semoga karya nya apa yg dilakukan kakak sukses teruss""",1,1,0,0
pak harto bukan pembunuh rakyat justru pak harto sangat sayang dengan rakyat,1,0,0,1
"gak papa, nanti ada pengadilan di akhirat guys",1,1,0,0
ngomong aja gak tertib para termul,1,1,0,0
"""Paket lengkap deh.. udh cantik pintar lagi""",1,1,0,0
"pemerintah sekarang tidak bisa dikritik, karena didemo pun faktanya tetap sesuai kehendak pemerintah, seakan-akan demo itu tidak hanya angin lalu dan buang-buang energi",1,1,0,0
betul bu relawan itu komplotan atau gerombolan buat apa ada partai politik,1,0,1,0
"""Meldi aku perhatikan kamu seperti orang china deh.. cantik""",1,1,0,0
kalian yg ngomen kaya uda sempurna ajaðŸ˜Œ,1,1,0,0
mang ngape kalau lagi bunting (brondong nanya dengan nada lembut) ðŸ—¿,1,1,0,0
gimana mau bubar cari cuan nya dengan begitu,1,1,0,0
"ketika suara rakyat dan mahasiswa tak lagi di dengar,semuanya hanya bergantung pada ketokan paluðŸ˜¥RUU tetap di sah kan meski banyak yang menolak",1,1,0,0
adil biar ga seenak jidatnya gomongðŸ‘ðŸ‘,1,1,0,0
"kata Mak aku , orang itu yg dipegang dipercaya omongan nya....yg keluar dari MULUT nya....ðŸ¤­ðŸ¤­ðŸ¤­",1,1,0,0
Caitlin sm ariel udh waswas bgtðŸ˜­ðŸ™ðŸ»,1,1,0,0
"""Dah lah. Gw capek baca komen kalian""",1,1,0,0
yang anak nya donk kelemahan orang tua tuh anak nya,1,1,0,0
"apa sih yang komen, bahas tugba mulu ini tu momen orang plislah, lagian kak Fiki udah lama ga sama tu cewek bahkan tu cewek dah punya cowok baru, pada kaget karna ga sama dia lagi ya namanya ga jodoh mau gimana, dan sekarang Fiki sama kak tinandrose mereka tu ga tiba-tiba nikah, tapi udah lumayan lama tunangan/lamaran ada kok Fiki sebelumnya pamer cincin dilive sama cewek luar gitu trus ngasih tau kalo dia udah punya calon dan mau nikah, jadi plis gausah bahas orang lain lagi dimomen mereka berdua ini, Happy Wedding buat Kak Fiki & Kak TinandroseðŸ¤",1,1,0,0
"""kasian banget Jane udah nunggu keluar penjara eh taunya :), waw sakit siih""",1,1,0,0
Dah gua langsung unfollowðŸ˜Œ,1,1,0,0
"""Gilaaaa.. gila.. gilaaaa Tangan, kaki, ekspresi, n emosi tertuang adi suatu karya yg fantastis""",1,0,1,0
"yang birahi doesennya yang disalahin mahasiswi nya, kok lucuðŸ˜‚",1,1,0,0
"""Erik kenapa sih? Ada yang bisa jelasin gw ga update soalnya.. maap2""",1,1,0,0
kamu cantik tanpa perlu validasi dari orang2 rese... ðŸ¥°,1,1,0,0
Capek bgt Ya Allah.. mau ga peduli tp gabisa..,1,1,0,0
"""Disini pada kenapa dah? Aku gapaham tolong""",1,1,0,0
Ga ngerti lagi ya Allah,1,1,0,0
"""Udah cantik, rada gesrek tapi ya ini banyak kelebihannya, semangat tetap produktif""",1,1,0,0
Taukan knp undang-undang perampasan aset sampai hari ini ngga di sahkan,1,0,1,0
"""kultur kerja kaya gini menurut gw bagus si ga kapitalis banget, petingginya juga ikut kerja misal ngevlog atau endors, semoga gaji juga ga senjang si haha""",1,1,0,0
hati gua berisik bgt,1,1,0,0
"""Masyaallah mamah gigi bening bet dah, sehat selalu mamah gigi dn keluarga""",1,1,0,0
sekarang jule itu status istri safri.takutnya jule dengan alasan mau ketemuan dengan anaknya tanoa seizin Safri .lalu Safri menuduh jule selingkuh dengan mantan suaminya. saran saya jule kalau mau ketemuan bareng dengan Safri atau terang terangan .,1,1,0,0
otak siapa yang eror orang lain malah kena ,1,1,0,0
hari hari liat orang selingkuh,1,1,0,0
"""Bully an di ig lebih ngeri daripada di fb ajg gua jadi ngerii! Ajgg",1,0,1,0
"""Ga ada yang dibawah Meldi, semuanya setara, ada kekurangan ada kelebihan""",1,1,0,0
Cinn cantik bangetttðŸ˜­,1,1,0,0
"ngakak beneran baca komen"" ðŸ˜‚ðŸ˜‚ðŸ˜‚",1,1,0,0
Settingan ga si,1,1,0,0
preett,1,1,0,0
"""Aku doakan perempuan baik yg bernama Nagita selalu sehat, bahagia lahir batin, dan banyak yang sayang sm dia..""",1,1,0,0
PRESIDEN SOEHARTO ADALAH PAHLAWAN NASIONAL DAN PRESIDEN SOEHARTO ADALAH BAPAK PEMBANGUNAN.,1,1,0,0
"""Di maafin aaa? semoga dia jera untuk kedepannya?""",1,1,0,0
fredy fredy dah lah pusing rakyat,1,1,0,0
"""salfok sama kaki, tapi cantik banget asli""",1,1,0,0
Mama kamari cantik banget,1,1,0,0
"""Jangan cuman bisa ngehina Dong Sadar Kalian Itu Ga sempurna sama kaya kami""",1,1,0,0
"takut sama kekuatan netijen yaa,makanya langsung nongolðŸ˜ðŸ˜‚",1,1,0,0
kalau relawan bubar tar ga di bayar lagi...buuu,1,1,0,0
HAHAHAHAHAH INI END NYA KAH? ATAU MASIH ADA EPISODE NYA?,1,1,0,0
Indonesia negara besar pak,1,1,0,0
"""Gosh, tiap kali lihat isyana mainin alat musik kaya lihat jiwanya beda. Merinding gila. Kaya kepribadiannya jadi serius bangett""",1,0,1,0
"""Awalnya ngira baju endorse dari KFC, mirip '-'""",1,1,0,0
Untung yg terkenal aloy bukan dia ðŸ¤£,0,0,0,0
Ngabalin versi 3 setelah Haikal hasan,0,0,0,0
Orang kaya begini ga usah di kasih panggung,0,0,0,0
Semoga mbk Lisa sehat selalu ya sampai idul Adha ðŸ¤—ðŸ¤—,0,0,0,0
kalo bukan karna arahan juga gue ga tau lu Nurul,0,0,0,0
Komuk ariel ama caitlin ga bisa bohongðŸ˜­,0,0,0,0
si lintang juga ngerespon lgi wkwk pdhl dia kan udh punya cwoðŸ˜‚,0,0,0,0
ABIDZAR lo remake film JODHA AKBAR aja pemeran cewe nya lina mukherjee,0,0,0,0
bravy lu se ganteng apa dah busett,0,0,0,0
"dosen gaji besar kan yaaa, beli lah paralonte kalo birahi selesai, malah ngakalin murid nya ancaman pake nilai ðŸ—¿ kimaak memang ",0,0,0,0
ini bukan relawan lagi melainkan TERMUL namanya ðŸ˜ðŸ˜,0,0,0,0
jangan lupa kan jejak digital nya. Ruhut juga ini menempati diri pada penguasa. supaya tetap eksis ðŸ¤£,0,0,0,0
"""@rosameldianti_ kakak foto sebelum ini. kenapa Memeknya Keliatan Tebal???? Memeknya kakak Lagi Bengkak yah???""",0,0,0,0
"""TETEP PENJARA AJA AJG NYUSAHIN LO KELUAR""",0,0,0,0
"""selama dipenjara apalo sikat gigi? KOK BAU YA, BAUBAU AROMA BANGSATTTT""",0,0,0,0
Hidup itu tidak harus tenar tp bagaimana kerja nyata kita itu bisa di lihat baik oleh rakyat....tp sayang kamu cuma ingin mencari ketenaran dari pada kebanggaan,0,0,0,0
kok gelapnya lain gitu ya si abidzarðŸ˜­,0,0,0,0
"""kalo lomba sama""an sm babi, babi nya nmr 2""",0,0,0,0
"""ERICK GOBLOK,MALAH PACARAN AMA LONTE ANJ,SO BAT""",0,0,0,0
Auto unfoll so cakep biasa aja padahal banyak gaya selingkuh,0,0,0,0
muka se kusem itu di kasih untuk jadi ahn hye seopðŸ˜­,0,0,0,0
"""Muka anak nya ko tua banget yaa.. GK ngegemesin GK ada lucu2nya""",0,0,0,0
Relawan itu pabrik yg memproduksi hoaks dan digaji dg bansos. Sumber dananya berasal hasil kumpulan para koruptor yg dikelola oleh Mulyono.,0,0,0,0
Anda ini berbahaya sekali,0,0,0,0
ntah lah ga respect.,0,0,0,0
trus maksudnya ngelamar itu apaan yaa bambangðŸ˜­,0,0,0,0
Gemes banget sama hidungnya ðŸ˜Œ,0,0,0,0
"""Tangannya hitam? beda ama muka""",0,0,0,0
"""Jelek aja tukang selingkuh lo buriq !""",0,0,0,0
tenang zah kamu sendirian kok:),0,0,0,0
mandi kata gua,0,0,0,0
"dihina tidak tumbang, dipuji tidak pantas",0,0,0,0
ga ada positive positive nya,0,0,0,0
liat mukanya mau muntah ðŸ˜‚,0,0,0,0
Ga pernah semuak ini sama cewe,0,0,0,0
anjing-anjing neraka yang menyamar menjadi ustad ,0,0,0,0
"""Sepertinya Lutfi setelah putus dgn salsa seperti orang stress""",0,0,0,0
apa yang di harapkan sama cwo club?,0,0,0,0
ustad sangee,0,0,0,0
haha karma tidak pernah salah,0,0,0,0
"kata gue ape, yg tulus cuma penyanyi ðŸ˜­",0,0,0,0
pngn muntah keinget podcastnya di deny cagur,0,0,0,0
"""@_dy1412 buset cantik diedit aja mba, coba dah aslinya dah kayak buntelan kentut?""",0,0,0,0
cinta maaf tapi lu kek dukun yg suka ramal pake kartu itu lohðŸ¥º,0,0,0,0
"""Dari raut mukanya aja udh terlihat seperti org kalah judi dan tidak pernah makan enak""",0,0,0,0
pdhl body chacu bgus bgttt tpi knpa gaunnya harus ituuðŸ˜­ðŸ˜­ðŸ˜­,0,0,0,0
Perubahanmu menghancurkan mimpi itu,0,0,0,0
ini emg gelap? apa krna gk kena lighting?,0,0,0,0
"""Lo sintingnya udah tingkat dewa""",0,0,0,0
"dia klarifikasi karena takut kena bully, gak dapet kerja dan dikeluarkan dari kampus. bukan betulan menyesal",0,0,0,0
bunglon...ðŸ¤”ðŸ¤”ðŸ¤”,0,0,0,0
malah kayak tamu undangan bukan pengantinðŸ˜­,0,0,0,0
relawan Jokowi itu pengangguran jadi pengangguran itu cari makan,0,0,0,0
Eh anjir gw nyari mana si abidzarnya ko ada suara doang taunya diatas arielðŸ˜­ðŸ˜­ðŸ˜­ðŸ˜­,0,0,0,0
Langian ngapain percaya aki2ðŸ¤£,0,0,0,0
Kenapa polisi di indonesia seperti ini ya ðŸ•,0,0,0,0
"""ini foto apa w masukin museum aja ya ga ada pantas2nya""",0,0,0,0
prettt bgt dah,0,0,0,0
apa yg mau diharapkan wkwkwk,0,0,0,0
"""Gtu aj dh kek anjg lo kang""",0,0,0,0
Projo itu artinya Pro judol ?,0,0,0,0
tolol,0,0,0,0
"""Babi lagi main ma anjing :)""",0,0,0,0
wkwkwk kaya permen karet lau manis di awal,0,0,0,0
"""Muka lu kaya tai wkwkwk""",0,0,0,0
cung yang tau dia gara2 nikah sama arhannðŸ‘†,0,0,0,0
gedabrus ðŸ˜‚,0,0,0,0
untuk menggembor gembor kan tuan nya dan menjilat demi cuan,0,0,0,0
"""mba bisa gk sih, kalau gk merem melek gitu matanya kaya orang cacingan""",0,0,0,0
"""Udah tutup mulut nya bau kambing""",0,0,0,0
"orang bener jodoh nya ya bener, orang gak bener ya jodohnya tidak akan bener rempong ðŸ¤£",0,0,0,0
"""Cakep kaga jelek iya HAHAH""",0,0,0,0
mukanyaðŸ˜‚ðŸ˜‚ðŸ˜‚ðŸ˜‚,0,0,0,0
"ganteng kagak, muka kek aki aki",0,0,0,0
"""@ayu.kinantii isyan skrg berubah ya:( baju nya nakal""",0,0,0,0
"cakepan bridesmaid nya, maaf aku mewakilin kalian semua ",0,0,0,0
Ini pret nya kecepetan nggasi ðŸ˜­,0,0,0,0
"jelek,tolol,bego,hidup lagiðŸ˜‚",0,0,0,0
"""Mantan Anjing, eh kebalik anjing mantan""",0,0,0,0
"""Muka kek slangkangan biawak aje bnyk blagu lu""",0,0,0,0
"Kamu Jahat bngt sih, jd sedih gwðŸ¥º",0,0,0,0
tan skin engga masalah sama sekali tp ada yg bersih ada yg kurang bersih,0,0,0,0
baru tau Rigen ada hubungan darah sama Bahlil ðŸ˜…,0,0,0,0
"Eh sumpah ya brav, aku padahal udah suka dari lo pertama kali muncul di podcast2,, kek orang yang bijaksana , lemah lembut, tanpa ada alasan mencintai,,, tp lo inget yaa ,, ini udah bawa2 baby andrew , kasian dia gatau2 apa2 liat mamanya disakitin orang kek elo yang berpura2 jd pahlawan. :) sabar yaa baby andrew @eri.carl",0,0,0,0
"""muka lu sensual tapi norak kenapa dah""",0,0,0,0
sangat setuju kalo ciptaning di laporkan ke polis,0,0,0,0
Gapernah gua semuak ini liat artis yg bukan artis,0,0,0,0
Anj luu sok OKE GAK TAUNYA TAI JUGA!!!,0,0,0,0
Heran banget masih ada yg bela nurul kenyataannya kelakuannya kyk gitu kenapa tutup mata sih,0,0,0,0
"""Nggak ada cantik-cantik nya hahaha""",0,0,0,0
aura negatif nya kuat bngt,0,0,0,0
lagi dugem,0,0,0,0
"GUE PERNAH KETEMU ASLINYA ZIZE, CAKEPAN GUEEEE JAUHHHðŸ˜‚ðŸ˜‚ðŸ˜‚ðŸ˜‚ ASLINYA EMH LBH CKEP DRI VIDEO TP STANDARRRRR AJAAA",0,0,0,0
dibayar berapa sampe nangis gitu,0,0,0,0
"""Gua kalai jadi tuhan gaakan gua jadiin dia ini manusia, lebih pante ga hidup ini orang di dunia, akhlaknya gaada tolol bangsat""",0,0,0,0
Terlalu banyak kata2 hasil merusakan,0,0,0,0
betul penjarakan se umur hidup gerwani nyata itu..,0,0,0,0
relawan itu toxic,0,0,0,0
"sebenernya ariel sm caitlin malu bgt dan deg2an parah itu, abidzar lu ko bisa sepede itu si ngomong sumpah",0,0,0,0
"menyesal karena ketauan..kalau ga ketauan ya lanjut buly..sekarang aja pasti masih ngebully mungkin sama temen"" nya",0,0,0,0
"""Setan ma setan mahh emg cocokk udee""",0,0,0,0
"""Dikasi BIDADARI MALAH PILIH BABI""",0,0,0,0
"nah loh, giliran datanya kesebar baru deh buka mata ðŸ—¿",0,0,0,0
"""Wiii anjay kapan lagi liat babi megang 2 anjing""",0,0,0,0
kalo bukan arhan gw gak tau dia siapa ðŸ™ƒ,0,0,0,0
Percayalah yng tiba tiba ngak suka ini sebenarnya fans aslinyaðŸ—¿,0,0,0,0
lagi masuk musim kawin dosennya ,0,0,0,0
"""Maap ye?muke lu udh jelek kaga usah sok selingkuh,cakepan anjing gua noh""",0,0,0,0
Sempet sempetnya ngalis dulu anj,0,0,0,0
"""Kalo disuruh melihara anjing/eric gw pilih anjing aja meski Najis tapi lebih najisan erick kontol""",0,0,0,0
keturunan PKI,0,0,0,0
circle problemmatic,0,0,0,0
Titik terendah seorang sipil adalah menjadi polisi,0,0,0,0
Pansos nya berhasilðŸ‘,0,0,0,0
"""Beda sama d foto yaa.. Disini lebar banget mukanya maaf itu kalau foto editan ya""",0,0,0,0
Dia lagi hamil ya?(bertanya dengan nadaaa sangat lembuutt),0,0,0,0
koq nyanya ke saya..ðŸ¤£ðŸ¤£ðŸ¤£,0,0,0,0
"""@rosameldianti_ cowokmu wajah nya culun dan cupu kayak om2""",0,0,0,0
kesabaran ariel tatum diuji bangetðŸ˜‚ðŸ˜‚ðŸ˜‚,0,0,0,0
Biasa korup matanya kek gitu,0,0,0,0
ANAK ABI LC,0,0,0,0
Ngangong ngagong ternyata sama ajaaa wkwk,0,0,0,0
kan lu yang salah ngasib aturan etanol 10% njir.. ini motor gw habis servis gegera brebet abis 145 njir,0,0,0,0
"ga salah pilih selera rk bukan kaleng, kaleng tapinya drumðŸ˜‚ðŸ˜‚",0,0,0,0
"""Babi g pantes nyentuh anjingnya bidadari, nanti kotor.""",0,0,0,0
"""Kasihan ya kamu @rosameldianti_ Hidup sekali cuman buat bahan hujatan masyarakat? Mubadzir banget deh hidup lo? Napa gak bunuh diri aja?""",0,0,0,0
MENJILAT junjungn nya ðŸ˜… kalau gak NGENJILAT gak bisa makan ðŸ™ƒðŸ¤­,0,0,0,0
"""Kasihan ya , Nagita punya suami kerjaannya berzinah terus""",0,0,0,0
emang dia cerdas?ðŸ—¿,0,0,0,0
gak bakal ngerti Bu mreka di jelasin juga,0,0,0,0
HAL TERSIAL ARHAN ADALAH MENIKAH SAMA KAMU!,0,0,0,0
banyak yang cowok nangis saat menikah tapi preeet pada waktunya,0,0,0,0
projudol,0,0,0,0
sok ganteng banyak tingkah,0,0,0,0
oon bener kurang apa cobak suami lu,0,0,0,0
"""IH ADA BABI JGN MEGANG TUH ANJING HARGA DIRINYA LEBIH TINGGI DRIPADA LO""",0,0,0,0
elawan pengen jadi komisaris buðŸ™,0,0,0,0
"satu lagi ini hasil kerja jokowi, menurunkan demokerasi",0,0,0,0
Gantiin tugas iblis semua,0,0,0,0
yang kaya gini di kasih panggung terus buset dah,0,0,0,0
Semuak ini liat mukanya,0,0,0,0
otak nya di kontol,0,0,0,0
itu idungnya belok kanan ya,0,0,0,0
"""Di foto tirus.. Kalo di video wariorr kok mukanya kek donat gak ada bentuknya""",0,0,0,0
"""Dasar Bego lu.. gua jijik sama lu bro kayak gak punya otak banget""",0,0,0,0
"DO, teman saja di bully apalagi pasien bpjs",0,0,0,0
lgian jg bravy kek numpang tenar gt gksi,0,0,0,0
dari awal sdh gak jelas ðŸ¤£,0,0,0,0
